"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1072","Проверка удаления заказа","tests","Sun Sep 08 18:30:13 MSK 2024","passed","Sun Sep 08 18:30:14 MSK 2024","TestOrderApi","test_store_api","",""
"","552","Проверка получения информации по некорректному ID","tests","Sun Sep 08 18:30:02 MSK 2024","passed","Sun Sep 08 18:30:03 MSK 2024","TestPetApi","test_pet_api","",""
"","548","Проверка обновления карточки питомца c некорректным ID","tests","Sun Sep 08 18:30:06 MSK 2024","passed","Sun Sep 08 18:30:07 MSK 2024","TestPetApi","test_pet_api","",""
"","1112","Проверка входа пользователя в систему","tests","Sun Sep 08 18:30:15 MSK 2024","passed","Sun Sep 08 18:30:16 MSK 2024","TestUserApi","test_user_api","",""
"","544","Проверка получения информации по некорректному ID","tests","Sun Sep 08 18:30:03 MSK 2024","passed","Sun Sep 08 18:30:04 MSK 2024","TestPetApi","test_pet_api","",""
"","952","Проверка поиска животных по статусу","tests","Sun Sep 08 18:29:57 MSK 2024","passed","Sun Sep 08 18:29:58 MSK 2024","TestPetApi","test_pet_api","",""
"","585","Проверка обновления карточки питомца по ID","tests","Sun Sep 08 18:30:07 MSK 2024","failed","Sun Sep 08 18:30:08 MSK 2024","TestPetApi","test_pet_api","",""
"","1095","Проверка добавления нового питомца","tests","Sun Sep 08 18:30:05 MSK 2024","passed","Sun Sep 08 18:30:06 MSK 2024","TestPetApi","test_pet_api","",""
"","2220","Проверка создания заказа","tests","Sun Sep 08 18:30:10 MSK 2024","passed","Sun Sep 08 18:30:12 MSK 2024","TestOrderApi","test_store_api","",""
"","534","Проверка выхода пользователей из системы","tests","Sun Sep 08 18:30:16 MSK 2024","passed","Sun Sep 08 18:30:17 MSK 2024","TestUserApi","test_user_api","",""
"","1338","Проверка получения информации о питомце по ID","tests","Sun Sep 08 18:30:00 MSK 2024","passed","Sun Sep 08 18:30:01 MSK 2024","TestPetApi","test_pet_api","",""
"","767","Проверка поиска животных по статусу","tests","Sun Sep 08 18:29:58 MSK 2024","passed","Sun Sep 08 18:29:59 MSK 2024","TestPetApi","test_pet_api","",""
"","546","Проверка поиска животных по статусу","tests","Sun Sep 08 18:29:59 MSK 2024","passed","Sun Sep 08 18:29:59 MSK 2024","TestPetApi","test_pet_api","",""
"","1095","Проверка обновления карточки питомца","tests","Sun Sep 08 18:30:04 MSK 2024","passed","Sun Sep 08 18:30:05 MSK 2024","TestPetApi","test_pet_api","",""
"","528","Проверка получения информации по некорректному ID","tests","Sun Sep 08 18:30:03 MSK 2024","passed","Sun Sep 08 18:30:03 MSK 2024","TestPetApi","test_pet_api","",""
"","546","Проверка количества питомцев по статусу","tests","Sun Sep 08 18:30:09 MSK 2024","passed","Sun Sep 08 18:30:10 MSK 2024","TestOrderApi","test_store_api","",""
"","533","Проверка поиска животных по некорректному статусу","tests","Sun Sep 08 18:29:59 MSK 2024","passed","Sun Sep 08 18:30:00 MSK 2024","TestPetApi","test_pet_api","",""
"","638","Проверка получения информации по некорректному ID","tests","Sun Sep 08 18:30:01 MSK 2024","passed","Sun Sep 08 18:30:02 MSK 2024","TestPetApi","test_pet_api","",""
"","540","Проверка удаления карточки питомца","tests","Sun Sep 08 18:30:08 MSK 2024","broken","Sun Sep 08 18:30:09 MSK 2024","TestPetApi","test_pet_api","",""
"","1101","Проверка создания пользователя","tests","Sun Sep 08 18:30:14 MSK 2024","failed","Sun Sep 08 18:30:15 MSK 2024","TestUserApi","test_user_api","",""
"","541","Проверка получения заказа по id","tests","Sun Sep 08 18:30:12 MSK 2024","passed","Sun Sep 08 18:30:13 MSK 2024","TestOrderApi","test_store_api","",""
"","546","Проверка получения заказа по несуществующему id","tests","Sun Sep 08 18:30:13 MSK 2024","passed","Sun Sep 08 18:30:13 MSK 2024","TestOrderApi","test_store_api","",""
"","546","Удаление карточки питомца по несуществующему ID","tests","Sun Sep 08 18:30:09 MSK 2024","passed","Sun Sep 08 18:30:09 MSK 2024","TestPetApi","test_pet_api","",""
"","556","Проверка получения информации по некорректному ID","tests","Sun Sep 08 18:30:04 MSK 2024","passed","Sun Sep 08 18:30:04 MSK 2024","TestPetApi","test_pet_api","",""
"","550","Проверка обновления карточки питомца по некорректному ID","tests","Sun Sep 08 18:30:08 MSK 2024","passed","Sun Sep 08 18:30:08 MSK 2024","TestPetApi","test_pet_api","",""
